,FraudReported
0,0
1,1
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,1
11,1
12,0
13,0
14,1
15,1
16,1
17,1
18,0
19,1
20,0
21,1
22,1
23,0
24,0
25,1
26,0
27,1
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,0
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,1
55,1
56,0
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,0
75,0
76,0
77,0
78,1
79,0
80,1
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,0
95,1
96,0
97,1
98,1
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,1
109,0
110,0
111,1
112,1
113,1
114,0
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,1
123,0
124,0
125,1
126,1
127,1
128,1
129,0
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,1
138,1
139,1
140,0
141,1
142,1
143,0
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,0
152,1
153,1
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,0
162,0
163,0
164,1
165,1
166,0
167,0
168,0
169,1
170,1
171,1
172,1
173,0
174,1
175,0
176,0
177,0
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,1
187,1
188,1
189,1
190,0
191,0
192,1
193,0
194,0
195,0
196,1
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,0
205,0
206,1
207,1
208,0
209,1
210,0
211,0
212,1
213,0
214,1
215,1
216,1
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,1
225,0
226,0
227,1
228,1
229,0
230,1
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,1
241,1
242,1
243,0
244,1
245,0
246,1
247,0
248,1
249,0
250,1
251,1
252,1
253,0
254,0
255,0
256,1
257,1
258,0
259,1
260,1
261,1
262,1
263,0
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,0
272,0
273,0
274,1
275,1
276,1
277,0
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,0
287,1
288,0
289,1
290,1
291,1
292,0
293,1
294,0
295,0
296,1
297,0
298,0
299,0
300,1
301,1
302,0
303,1
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,0
313,0
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,0
336,1
337,1
338,0
339,1
340,1
341,0
342,0
343,0
344,0
345,1
346,0
347,1
348,1
349,1
350,1
351,1
352,0
353,1
354,1
355,1
356,0
357,0
358,1
359,1
360,1
361,0
362,1
363,1
364,0
365,1
366,1
367,0
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,0
376,1
377,0
378,1
379,0
380,1
381,1
382,1
383,0
384,1
385,0
386,0
387,1
388,1
389,0
390,1
391,0
392,0
393,1
394,0
395,1
396,0
397,1
398,1
399,0
400,1
401,0
402,1
403,1
404,0
405,0
406,1
407,1
408,0
409,0
410,0
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,0
420,0
421,0
422,1
423,0
424,1
425,1
426,0
427,1
428,0
429,1
430,1
431,1
432,0
433,1
434,1
435,0
436,0
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,0
445,1
446,0
447,0
448,0
449,1
450,1
451,0
452,0
453,1
454,0
455,1
456,1
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,1
471,0
472,0
473,1
474,0
475,0
476,0
477,1
478,0
479,0
480,1
481,1
482,1
483,1
484,0
485,0
486,0
487,0
488,1
489,1
490,0
491,1
492,0
493,1
494,1
495,1
496,1
497,0
498,0
499,0
500,1
501,1
502,0
503,0
504,1
505,1
506,1
507,1
508,1
509,0
510,0
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,0
522,0
523,1
524,0
525,0
526,0
527,0
528,1
529,1
530,1
531,0
532,1
533,1
534,0
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,0
546,0
547,0
548,0
549,1
550,1
551,1
552,1
553,0
554,0
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,0
566,0
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,0
575,1
576,1
577,0
578,0
579,1
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,1
596,1
597,1
598,1
599,0
600,1
601,1
602,1
603,1
604,1
605,0
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,1
614,0
615,1
616,0
617,0
618,1
619,1
620,1
621,0
622,0
623,1
624,0
625,1
626,1
627,0
628,0
629,1
630,1
631,1
632,0
633,0
634,0
635,0
636,1
637,1
638,1
639,1
640,1
641,0
642,1
643,1
644,1
645,1
646,1
647,1
648,0
649,0
650,1
651,0
652,0
653,1
654,1
655,0
656,0
657,1
658,1
659,1
660,0
661,1
662,0
663,1
664,1
665,1
666,1
667,1
668,0
669,1
670,0
671,1
672,0
673,1
674,1
675,0
676,0
677,0
678,1
679,0
680,1
681,1
682,0
683,0
684,1
685,0
686,1
687,1
688,1
689,1
690,0
691,1
692,0
693,1
694,1
695,0
696,1
697,1
698,1
699,1
700,1
701,1
702,0
703,0
704,1
705,1
706,0
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,0
715,0
716,1
717,1
718,1
719,0
720,1
721,1
722,1
723,1
724,0
725,0
726,1
727,0
728,1
729,1
730,0
731,1
732,1
733,0
734,1
735,0
736,1
737,1
738,1
739,1
740,1
741,1
742,0
743,1
744,1
745,1
746,1
747,1
748,1
749,0
750,1
751,1
752,0
753,0
754,1
755,0
756,1
757,0
758,0
759,0
760,0
761,0
762,1
763,0
764,1
765,1
766,1
767,1
768,1
769,0
770,1
771,1
772,0
773,1
774,1
775,1
776,1
777,0
778,0
779,0
780,1
781,1
782,1
783,1
784,0
785,1
786,0
787,1
788,1
789,1
790,1
791,0
792,0
793,1
794,0
795,1
796,1
797,0
798,1
799,0
800,0
801,1
802,1
803,1
804,1
805,0
806,1
807,0
808,1
809,1
810,1
811,1
812,1
813,1
814,0
815,1
816,0
817,0
818,1
819,1
820,1
821,1
822,1
823,0
824,0
825,0
826,0
827,1
828,1
829,1
830,1
831,0
832,0
833,1
834,1
835,0
836,0
837,0
838,1
839,0
840,0
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,0
849,1
850,1
851,1
852,0
853,1
854,0
855,1
856,0
857,1
858,1
859,0
860,1
861,1
862,0
863,0
864,1
865,1
866,0
867,1
868,0
869,1
870,1
871,0
872,1
873,1
874,1
875,1
876,0
877,1
878,0
879,0
880,1
881,1
882,1
883,1
884,1
885,0
886,0
887,0
888,0
889,1
890,1
891,1
892,1
893,1
894,0
895,1
896,0
897,1
898,0
899,1
900,0
901,1
902,1
903,1
904,1
905,1
906,0
907,0
908,1
909,1
910,0
911,0
912,0
913,1
914,0
915,0
916,1
917,0
918,1
919,0
920,1
921,1
922,1
923,1
924,0
925,1
926,0
927,1
928,1
929,1
930,0
931,1
932,1
933,0
934,1
935,0
936,1
937,1
938,0
939,1
940,0
941,1
942,1
943,0
944,1
945,0
946,1
947,1
948,1
949,1
950,1
951,0
952,1
953,0
954,0
955,1
956,1
957,1
958,1
959,1
960,1
961,0
962,1
963,1
964,1
965,1
966,0
967,0
968,0
969,0
970,0
971,1
972,0
973,1
974,1
975,1
976,1
977,1
978,0
979,1
980,1
981,1
982,0
983,1
984,1
985,0
986,1
987,1
988,0
989,1
990,1
991,1
992,0
993,1
994,1
995,1
996,0
997,0
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,0
1009,0
1010,0
1011,1
1012,1
1013,0
1014,1
1015,0
1016,0
1017,0
1018,1
1019,0
1020,1
1021,0
1022,0
1023,1
1024,0
1025,1
1026,1
1027,1
1028,1
1029,0
1030,0
1031,1
1032,0
1033,1
1034,1
1035,1
1036,0
1037,1
1038,0
1039,1
1040,1
1041,1
1042,1
1043,1
1044,0
1045,1
1046,0
1047,1
1048,1
1049,0
1050,0
1051,0
1052,1
1053,1
1054,0
1055,1
1056,1
1057,1
1058,0
1059,0
1060,1
